id,franchise_id,instagram_url,facebook_url,twitter_url,linkedin_url,created_at,updated_at
b5ab8d83-cd2b-4cda-a511-09d6d76ab0b0,605dc402-64b7-4ba9-9069-e705f4746b7c,,,,https://www.linkedin.com/company/apponix-academy,2026-01-10 12:02:56,2026-01-10 12:02:56
06f2d2c9-c4c9-439d-b8fd-3932fdcedeb7,3f8fddd3-f75d-4d55-8622-c998930adc92,,,,https://www.linkedin.com/company/brain-checker,2026-01-10 12:02:56,2026-01-10 12:02:56
9c2a96c8-55c1-42f0-b6a8-e8b2c846cf40,be9dc891-8287-4cbd-9093-b658cae87d07,https://www.instagram.com/frozenbottle_official,https://www.facebook.com/frozenbottle,,,2026-01-10 12:02:56,2026-01-10 12:02:56
5a52a4bf-e228-4fb2-a347-9e127eae5b94,20eb604e-6144-4ec8-9dfc-e504cfc576ea,https://www.instagram.com/pabrais,https://www.facebook.com/pabrais,,,2026-01-10 12:02:56,2026-01-10 12:02:56
9d7f2d21-0805-474d-9398-6776775ced0a,945cd8b9-47c7-4093-b0ea-4531c6ced200,https://www.instagram.com/creamandfudgeindia/,https://www.facebook.com/creamandfudgeindia/,,,2026-01-10 12:02:56,2026-01-10 12:02:56
178b0eb7-908f-4acf-871d-8f859d21e7b2,23483a03-aa1e-4e9e-862e-23a723901474,https://www.instagram.com/thefruitcreamery/,https://www.facebook.com/thefruitcreameryindia/,,,2026-01-10 12:02:56,2026-01-10 12:02:56
9ffb707f-1d56-42ba-be9b-ab15105e0439,70628840-212f-4377-8b18-8aa145bc292a,https://www.instagram.com/dairydon_official/,https://www.facebook.com/dairydonofficial/,,,2026-01-10 12:02:56,2026-01-10 12:02:56
4c7262aa-c1aa-421b-ada4-a3f9812e5a40,6855aba8-d2c9-4cd6-aa86-bed08d0acfc8,https://www.instagram.com/michaelsicecreamburger/,https://www.facebook.com/michaelsicecreamburger/,,,2026-01-10 12:02:56,2026-01-10 12:02:56
9dbe17e5-f716-400c-b70d-4aa0a54b5e35,9bb91606-f058-4164-bcaa-87892da94227,,,,,2026-01-10 12:02:56,2026-01-10 12:02:56
dd1d07e7-55fd-4b88-a036-6d1d9ef041c5,5f399d54-407c-4b4a-98c7-aef9ad1600c6,https://www.instagram.com/cocoberryindia/,https://www.facebook.com/Cocoberry,,https://in.linkedin.com/in/laksh-h-yadav-a49048a0,2026-01-10 12:02:56,2026-01-10 12:02:56
e9d5f3e5-da21-4fb4-95ae-7d560d0dc9fc,489d88bf-1f8d-4de9-b7f1-a863268d3126,https://www.instagram.com/icecream_amul,https://www.facebook.com/AmulIcecream,https://twitter.com/Amul_Coop,,2026-01-10 12:02:56,2026-01-10 12:02:56
3f404833-d0bc-4796-8758-508a8820101d,f1ce23fc-d9bd-4514-83be-543b30357cb1,https://www.instagram.com/gianiicecream/,https://www.facebook.com/Gianisicecream1956/,,,2026-01-10 12:02:56,2026-01-10 12:02:56
c0f18457-b1c7-4802-8b76-f076099a6599,4af9efb4-507c-4d83-bac1-bfcb915174a4,https://www.instagram.com/kioskkaffeeofficial/,https://www.facebook.com/Kiosk-Kaffee,,https://www.linkedin.com/company/kiosk-kaffee,2026-01-10 12:02:56,2026-01-10 12:02:56
f93e08fc-7e2f-4e3a-97be-20b01bf040b4,38561e9f-265f-4bd5-9e6f-4d4c001fab1e,https://www.instagram.com/midwaycafeindia,https://www.facebook.com/midwaycafeindia,,https://www.linkedin.com/company/midwaycafeindia,2026-01-10 12:02:56,2026-01-10 12:02:56
86b023e6-57c1-43d6-952f-eb8c6e4afcdf,fb0b305f-4c8f-43af-acc7-5619797e05a7,https://www.instagram.com/kulhadrani,,,https://www.linkedin.com/company/kulhad-rani,2026-01-10 12:02:56,2026-01-10 12:02:56
